SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2795274	407.90	365.70	0	0
2795275	408.30	366.10	0	0
2795276	408.70	366.70	0	0
2795277	408.30	367.00	0	0
2795278	407.90	366.90	0	0
2795279	407.70	366.70	0	0
2795280	407.80	366.80	0	0
2795281	408.00	366.80	0	0
2795282	408.10	366.30	0	0
2795283	408.20	366.00	0	0
2795284	408.40	365.80	0	0
2795285	408.60	366.30	0	0
2795286	408.50	367.10	0	0
2795287	408.30	367.60	0	0
2795288	408.00	367.70	0	0
2795289	408.00	367.30	0	0
2795290	407.90	367.10	0	0
2795291	407.80	367.10	0	0
2795292	407.70	366.90	0	0
2795293	407.70	366.80	0	0
2795294	407.60	366.60	0	0
2795295	407.70	366.20	0	0
2795296	407.70	365.70	0	0
2795297	408.00	365.20	0	0
2795298	408.10	366.20	0	0
2795299	408.30	367.30	0	0
2795300	408.20	368.20	0	0
2795301	407.50	367.70	0	0
2795302	406.90	366.50	0	0
2795303	406.60	365.70	0	0
2795304	406.90	364.70	0	0
2795305	407.70	364.40	0	0
2795306	408.30	364.20	0	0
2795307	408.10	364.60	0	0
2795308	407.40	365.30	0	0
2795309	407.60	366.00	0	0
2795310	408.60	366.40	0	0
2795311	409.40	366.60	0	0
2795312	409.10	366.70	0	0
2795313	408.30	366.70	0	0
2795314	407.60	366.10	0	0
2795315	407.90	365.50	0	0
2795316	408.40	365.80	0	0
2795317	408.70	366.60	0	0
2795318	408.30	367.40	0	0
2795319	408.10	367.40	0	0
2795320	408.00	367.30	0	0
2795321	407.90	367.10	0	0
2795322	408.00	366.90	0	0
2795323	408.00	366.90	0	0
2795324	407.90	367.00	0	0
2795325	407.80	366.80	0	0
2795326	407.60	366.50	0	0
2795327	407.40	366.40	0	0
2795328	407.00	366.60	0	0
2795329	406.70	366.90	0	0
2795330	406.70	366.90	0	0
2795331	406.90	366.80	0	0
2795332	407.30	367.40	0	0
2795333	407.50	368.30	0	0
2795334	407.70	369.00	0	0
2795335	407.60	369.00	0	0
2795336	407.50	369.00	0	0
2795337	408.00	369.00	0	0
2795338	408.60	369.20	0	0
2795339	409.10	369.10	0	0
2795340	408.80	369.10	0	0
2795341	408.40	369.10	0	0
2795342	408.20	369.10	0	0
2795343	408.10	369.00	0	0
2795344	408.10	368.80	0	0
2795345	408.10	368.50	0	0
2795346	408.00	368.30	0	0
2795347	408.00	368.20	0	0
2795348	408.30	368.20	0	0
2795349	408.60	368.30	0	0
2795350	408.40	368.30	0	0
2795351	407.10	368.40	0	0
2795352	405.80	368.50	0	0
2795353	406.40	368.10	0	0
2795354	407.70	367.80	0	0
2795355	408.60	367.40	0	0
2795356	408.10	367.40	0	0
2795357	407.60	367.40	0	0
2795358	407.40	367.20	0	0
2795359	407.20	367.10	0	0
2795360	407.10	366.90	0	0
2795361	407.30	366.80	0	0
2795362	407.70	366.80	0	0
2795363	407.80	366.70	0	0
2795364	407.80	366.70	0	0
2795365	407.80	366.80	0	0
2795366	407.90	366.90	0	0
2795367	408.00	366.80	0	0
2795368	408.00	366.80	0	0
2795369	408.00	366.80	0	0
2795370	407.90	367.20	0	0
2795371	407.80	367.60	0	0
2795372	407.80	368.10	0	0
2795373	407.80	368.10	0	0
2795374	407.90	368.50	0	0
2795375	408.10	368.90	0	0
2795376	408.20	369.30	0	0
2795377	407.70	369.10	0	0
2795378	407.00	368.80	0	0
2795379	406.40	368.50	0	0
2795380	406.60	368.50	0	0
2795381	406.50	368.50	0	0
2795382	406.40	368.60	0	0
2795383	406.20	368.90	0	0
2795384	406.20	369.10	0	0
2795385	406.70	368.70	0	0
2795386	406.90	368.10	0	0
2795387	407.00	367.50	0	0
2795388	407.10	367.40	0	0
2795389	407.40	367.50	0	0
2795390	407.70	367.80	0	0
2795391	408.20	368.40	0	0
2795392	408.60	368.80	0	0
2795393	409.30	368.90	0	0
2795394	409.50	368.70	0	0
2795395	409.80	368.50	0	0
2795396	409.90	368.40	0	0
2795397	409.70	368.40	0	0
2795398	409.80	367.90	0	0
2795399	409.80	367.40	0	0
2795400	410.20	367.40	0	0
2795401	410.20	367.90	0	0
2795402	410.50	368.40	0	0
2795403	410.70	368.30	0	0
2795404	410.90	368.20	0	0
